file_path,gender,age
Dataset\Adience_Dataset\Crop_Faces\0.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\1.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\2.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\4.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\5.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\7.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\8.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\9.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\10.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\11.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\12.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\13.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\14.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\15.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\17.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\18.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\19.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\22.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\23.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\24.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\25.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\27.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\28.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\29.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\30.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\31.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\32.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\33.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\35.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\36.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\37.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\38.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\39.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\40.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces\41.jpg,f,"(25, 32)"
